genero;nivel_formacion;pais;rubro;dotacion;origen_capital;puesto;funcion_rh;anios_experiencia;tipo_contratacion;sueldo_bruto;satisfaccion;busqueda;tipo_cambio;multiplicador;sueldo_ft;sueldo_dolar;cuenta
Femenino;Universitario completo;Argentina;Servicios de salud;500;Nacional;Responsable;Compensaciones y beneficios;2;Full time;62000;5;No estoy buscando cambiar;83.89;1;62000;739.0630587674335;1
Femenino;Universitario completo;Argentina;Producción de metales básicos;5350;Multinacional;Analista;People Analytics;3;Full time;218000;4;No estoy buscando cambiar;83.89;1;218000;2598.641077601621;1
Masculino;Terciario completo;Argentina;Construcción;350;Nacional;Responsable;Payroll / Liquidación de sueldos;12;Full time;73000;3;No estoy buscando cambiar;83.89;1;73000;870.187149839075;1
Femenino;Universitario en curso;Argentina;Comercio;85;Nacional;Responsable;Generalista;10;Full time;75000;3;Sí, activamente;83.89;1;75000;894.0278936702825;1
Femenino;Universitario completo;Argentina;Servicios de salud;556;Nacional;Gerente;Diseño organizacional;4;Full time;80000;NA;NA;83.89;1;80000;953.6297532483013;1
Femenino;Universitario completo;Argentina;Educación;900;Nacional;HRBP;Generalista;4;Full time;56600;4;No estoy buscando cambiar;83.89;1;56600;674.6930504231732;1
Femenino;Universitario en curso;Argentina;Tecnologías de Información, Sistemas, y afines;80;Multinacional;Analista;Reclutamiento y selección;3;Full time;56000;2;No,  pero escucho ofertas;83.89;1;56000;667.5408272738109;1
Femenino;Universitario completo;Argentina;Terminales automotrices, fábricas autopartistas, y afines;45;Nacional;Responsable;Administración de personal;5;Full time;69500;2;Sí, activamente;83.89;1;69500;828.4658481344618;1
Femenino;Universitario completo;Argentina;Otros;3000;Nacional;Analista;Administración de personal;5;Plazo Fijo;60000;4;No,  pero escucho ofertas;83.89;1;60000;715.222314936226;1
Femenino;Maestría en curso;Argentina;"Alimentación; bebidas; tabaco";450;Nacional;Gerente;Generalista;15;Full time;225000;3;No,  pero escucho ofertas;83.89;1;225000;2682.0836810108476;1
